id,author,comment,url,timestamp
1,Ana R.,"The riverside park needs proper lighting after sunset — many of us stop running there in winter because it simply feels unsafe.",https://forum.example.org/park/1,2026-01-12 18:30:00
2,Ben K.,"Please keep the wild meadow section! It's the only place in the city where my kids have seen fireflies.",https://forum.example.org/park/2,2026-01-14 09:15:00
3,Carmen L.,"Me parece fundamental que el nuevo diseño incluya sombra natural. En verano el parque es un horno y los árboles tardan décadas en crecer.",https://forum.example.org/park/3,2026-01-20 16:45:00
4,Diego M.,"A dedicated bike lane through the park would stop the constant conflicts between cyclists and people walking dogs.",https://forum.example.org/park/4,2026-02-02 08:10:00
5,Elena V.,"The playground equipment is fine, what's missing are benches and toilets near it. Grandparents do half the childcare here.",https://forum.example.org/park/5,2026-02-05 11:00:00
6,Farid H.,"I run a small café next to the east gate. Construction timing matters enormously to us — please phase the works and keep at least one entrance open.",https://forum.example.org/park/6,2026-02-11 14:20:00
7,Grace O.,"Astroturf instead of grass would be a disaster for drainage and for the temperature of the whole area in summer.",https://forum.example.org/park/7,2026-02-18 19:05:00
8,Hugo P.,"cool",https://forum.example.org/park/8,2026-02-19 10:00:00
9,Iris T.,"The skate spot brings teenagers to the park — don't remove it, improve it. Give them lights and water fountains like everyone else.",https://forum.example.org/park/9,2026-03-01 17:30:00
10,Jonas W.,"Every consultation promises accessibility and every park still has gravel paths my wheelchair can't handle. Smooth, firm surfaces on ALL main routes please.",https://forum.example.org/park/10,2026-03-04 12:40:00
11,Karla S.,"Community garden plots would turn passive green space into something people actually take care of. Waiting lists elsewhere in the city are two years long.",https://forum.example.org/park/11,2026-03-09 15:55:00
12,Liam N.,"I'd rather have fewer fancy features and more maintenance budget. The last renovation looked great for exactly one year.",https://forum.example.org/park/12,2026-03-15 09:25:00
13,Marta G.,"Dogs need a fenced off-leash area. Right now every conflict in the park is about dogs because there is nowhere legal to let them run.",https://forum.example.org/park/13,2026-03-22 18:00:00
14,Noor A.,"Please plan the sports courts away from the residential edge. The current basketball court is wonderful for players and miserable for the people living five meters from it.",https://forum.example.org/park/14,2026-04-02 20:15:00
15,Oscar D.,"An amphitheater sounds nice but we already have three underused stages within two kilometers. Spend the money on trees and water.",https://forum.example.org/park/15,2026-04-08 13:35:00
16,Paula F.,"The pond should be restored as habitat, not turned into a splash pad. Herons still visit it every spring.",https://forum.example.org/park/16,2026-04-15 07:50:00
17,Quentin B.,"As a night-shift worker I use the park at odd hours. 24h access matters — please don't fence and lock it like the north park.",https://forum.example.org/park/17,2026-04-21 23:10:00
18,Rosa C.,"Free drinking water fountains, that's it, that's my comment. It's 2026 and we still have none.",https://forum.example.org/park/18,2026-05-03 16:20:00
19,Sam E.,"If you add food kiosks, please reserve at least one spot for local vendors instead of the same chain that's in every other park.",https://forum.example.org/park/19,2026-05-10 12:05:00
20,Tessa J.,"The park's history as an old railway yard could be told with a small info trail — kids love the old signal post and nobody knows what it is.",https://forum.example.org/park/20,2026-05-18 10:45:00
